Departamento,Municipio,Centro_Poblado,Latitud,Longitud,Tipo,Pregunta
ANTIOQUIA,ANGOSTURA,LLANOS DE CUIBA,"6,883870","-75,442430",3308,"¿Cómo se califica LLANOS DE CUIBA; ANGOSTURA; ANTIOQUIA; 6,883870; -75,442430 ; 3308; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,HATILLO,"6,423760","-75,379260",1484,"¿Cómo se califica HATILLO; BARBOSA; ANTIOQUIA; 6,423760; -75,379260 ; 1484; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,ARMENIA,CONDOMINIO PONTEVEDRA,"4,470670","-75,722180",2513,"¿Cómo se califica CONDOMINIO PONTEVEDRA; ARMENIA; QUINDÍO; 4,470670; -75,722180 ; 2513; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,APULO,APULO,"4,534070","-74,556620",8070,"¿Cómo se califica APULO; APULO; CUNDINAMARCA; 4,534070; -74,556620 ; 8070; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,ALBÁN,LA MARÍA,"4,911620","-74,422070",1686,"¿Cómo se califica LA MARÍA; ALBÁN; CUNDINAMARCA; 4,911620; -74,422070 ; 1686; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
"BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, DISTRITO CAPITAL","4,660590","-74,108130",9999,"¿Cómo se califica BOGOTÁ, DISTRITO CAPITAL; BOGOTÁ, D.C.; BOGOTÁ, D.C.; 4,660590; -74,108130 ; 9999; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,ANAPOIMA,ANAPOIMA,"4,590880","-74,489370",8321,"¿Cómo se califica ANAPOIMA; ANAPOIMA; CUNDINAMARCA; 4,590880; -74,489370 ; 8321; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,ALBÁN,ALBÁN,"4,896060","-74,435100",1492,"¿Cómo se califica ALBÁN; ALBÁN; CUNDINAMARCA; 4,896060; -74,435100 ; 1492; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,ANGOSTURA,LLANOS DE CUIBA,"6,883870","-75,442430",3440,"¿Cómo se califica LLANOS DE CUIBA; ANGOSTURA; ANTIOQUIA; 6,883870; -75,442430 ; 3440; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BELLO,EL ALBERGUE,"6,314960","-75,553430",725,"¿Cómo se califica EL ALBERGUE; BELLO; ANTIOQUIA; 6,314960; -75,553430 ; 725; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,ANDALUCÍA,LA PAZ,"4,191980","-76,165310",1412,"¿Cómo se califica LA PAZ; ANDALUCÍA; VALLE DEL CAUCA; 4,191980; -76,165310 ; 1412; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,ISAZA,"6,457650","-75,364580",1858,"¿Cómo se califica ISAZA; BARBOSA; ANTIOQUIA; 6,457650; -75,364580 ; 1858; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,ARMENIA,NUEVO HORIZONTE - SAPERA,"4,485840","-75,696610",2735,"¿Cómo se califica NUEVO HORIZONTE - SAPERA; ARMENIA; QUINDÍO; 4,485840; -75,696610 ; 2735; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,PUERTO BÉLGICA,"7,691810","-75,281120",7095,"¿Cómo se califica PUERTO BÉLGICA; CÁCERES; ANTIOQUIA; 7,691810; -75,281120 ; 7095; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,PUERTO BÉLGICA,"7,691810","-75,281120",7225,"¿Cómo se califica PUERTO BÉLGICA; CÁCERES; ANTIOQUIA; 7,691810; -75,281120 ; 7225; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,ISAZA,"6,457650","-75,364580",1990,"¿Cómo se califica ISAZA; BARBOSA; ANTIOQUIA; 6,457650; -75,364580 ; 1990; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ATLÁNTICO,BARRANQUILLA,"BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","11,013100","-74,843060",16495,"¿Cómo se califica BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO; BARRANQUILLA; ATLÁNTICO; 11,013100; -74,843060 ; 16495; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,ANDALUCÍA,ANDALUCÍA,"4,169250","-76,174610",1394,"¿Cómo se califica ANDALUCÍA; ANDALUCÍA; VALLE DEL CAUCA; 4,169250; -76,174610 ; 1394; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,ARMENIA,CONDOMINIO SENIORS CLUB,"4,465410","-75,745050",2460,"¿Cómo se califica CONDOMINIO SENIORS CLUB; ARMENIA; QUINDÍO; 4,465410; -75,745050 ; 2460; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,BOJACÁ,SANTA BÁRBARA,"4,662970","-74,283670",9883,"¿Cómo se califica SANTA BÁRBARA; BOJACÁ; CUNDINAMARCA; 4,662970; -74,283670 ; 9883; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
"BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTÁ, DISTRITO CAPITAL","4,662650","-74,116750",99,"¿Cómo se califica BOGOTÁ, DISTRITO CAPITAL; BOGOTÁ, D.C.; BOGOTÁ, D.C.; 4,662650; -74,116750 ; 99; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,ARMENIA,EL CAIMO,"4,478320","-75,707520",2563,"¿Cómo se califica EL CAIMO; ARMENIA; QUINDÍO; 4,478320; -75,707520 ; 2563; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,LAS PAMPAS,"7,738920","-75,272040",7207,"¿Cómo se califica LAS PAMPAS; CÁCERES; ANTIOQUIA; 7,738920; -75,272040 ; 7207; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ATLÁNTICO,BARRANQUILLA,"BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","11,013100","-74,843060",14410,"¿Cómo se califica BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO; BARRANQUILLA; ATLÁNTICO; 11,013100; -74,843060 ; 14410; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,HATILLO,"6,423760","-75,379260",1352,"¿Cómo se califica HATILLO; BARBOSA; ANTIOQUIA; 6,423760; -75,379260 ; 1352; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,BARBOSA,"6,458820","-75,364720",1866,"¿Cómo se califica BARBOSA; BARBOSA; ANTIOQUIA; 6,458820; -75,364720 ; 1866; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,BUGALAGRANDE,BUGALAGRANDE,"4,221980","-76,145370",1534,"¿Cómo se califica BUGALAGRANDE; BUGALAGRANDE; VALLE DEL CAUCA; 4,221980; -76,145370 ; 1534; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,ALBÁN,PANTANILLO,"4,895050","-74,442700",1420,"¿Cómo se califica PANTANILLO; ALBÁN; CUNDINAMARCA; 4,895050; -74,442700 ; 1420; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BELLO,BELLO,"6,334140","-75,536070",706,"¿Cómo se califica BELLO; BELLO; ANTIOQUIA; 6,334140; -75,536070 ; 706; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
